year,question_no,context,question,A,B,C,D,answer,region
2017,31,,Which type of rainfall occurs when two air masses of different temperature and other physical properties meet?,Orographic,Relief,Cyclonic,Convectional,C,International
2017,32,,"Two towns X and Y are situated on the Equator. If town X is on the Greenwich Meridian and town Y is on longitude 45° E, what will be the time of town Y, If the time at town X is 4.00 pm?",3.00 pm,5.00 pm,6.00 pm,7.00 pm,D,International
2017,33,,Mountain of denudation is another term for,volcanic mountain,fold mountain,block mountain,residual mountain,D,International
2017,34,,"When the moon comes in between the Earth and 43. the sun in a perfect straight line, which of the folowing eclipse occurs?",Partial,Full,Solar,Lunar,C,International
2017,35,,Which of the following desert landforms is associated with wind deposition?,Butte,Yardang,Wadi,Barchan,D,International
2017,36,,Factors which influence the practice of irrigation include all except,unreliable rainfall,high rainfall,need for more food,presence of fertile soil,B,International
2017,37,,Which of the following is a service industry?,Banking industry,Food processing plant,Cement factory,Pharmaceutical industry,A,International
2017,38,,A negative effect of mineral exploitation is,afforestation,hydration,pollution,oxidation,C,International
2017,39,,The system of agriculture which combines the growing of crops and rearing of animals is known as,dairy farming,mixed cropping,mixed farming,shifting cultivation,C,International
2017,40,,Which of the following statements is true of transhumance?,It is the seasonal migration of animal rearers in mountainous areas farming,It is practised by Europeans,It involves the growing of specialized crops,It is another name for mixed farming,A,International
2017,41,,Most rural settlements in developing countries of Africa,are nucleated,are dispersed,have dense transport network,have satellite towns renewable,A,Africa
,42,,Which of the following environment resources is non-renewable?,Rain,Mineral,Water,Oxygen,C,International
2017,43,,A town which is situated at the meeting point of roads is termed,nodal,port,confluence,gap,A,International
2017,44,,A major problem of air transportation in developing countries is,inadequate passengers,slow speed,inadequate capital,inadequate space for cargo,C,International
2017,45,,All these factors determine what a country can produce except,size of the country,technology,climate,natural endowment,A,International
2017,46,,Which of the following best explains the rapid urban population growth in developing countries of Africa?,Urban areas have more medical facilities,Many people migrate to urban areas in search of jobs,Urban areas have more living spaces,There is greater security in urban areas,B,Africa
2017,47,,Which of the following environmental hazards is prevalent in the coastal area?,Drought,Deforestation,Pollution,Flooding,D,International
2017,48,,Commodities which are used in world trade exclude,agricultural goods.,manufactured goods,mineral resources,human trafficking,D,International
2017,49,,The Rural industrial area in Germany is noted for the production of,iron and steel,vehicles,petroleum products,copper and aluminium,A,International
2017,50,,Which of the following criteria is not important in distinguishing between a village and a town?,Geographical situation,Population size,Range of functions,Variety of activities,A,Africa
,,,,,,,,,
,,,,,,,,,
2018,15,,"In Koppen's Classification of climates, Cs, refers to",Steppe,Mediterranean,Tropical Monsoon,Tropical Continental,B,International
2018,16,,Which of the following features is associated with river capture?,Delta,Meander,Levee,Wind gap,D,International
2018,17,,Volcanoes that have erupted before and show signs of possible eruption again are said to be,weak,extinct,dormant,ongoing,C,International
2018,18,,"In the northern hemisphere, summer solstice is experienced on",22-Sep,21-Jun,22-Dec,21-Mar,B,International
2018,19,,A community of plants and animals living in harmony within the same physical environment is referred to as,environmental interaction,terrestrial biocycle,ecosystem,biosphere,C,International
2018,20,,Sea breeze is most effective at,winter,day time,summer,night time,B,International
2018,21,,The nearest planet to the sun is,Jupiter,Saturn,Mercury,Earth,C,International
2018,22,,The type of rain mostly experienced within the tropics is,fog,relief,frontal,convectional,D,International
2018,23,,A feature commonly found in the youthful stage of a river is,Levee,Meander,Ox-bow lake,interlocking spurs,D,International
2018,24,,Which of the following is not a characteristic of Wadis?,They are river channels,They occur in tropical areas,They hold permanent streams,They have steep craggy walls,C,International
2018,25,,Stalactites and stalagmites are associated with which type of the following rocks?,Granite,Sandstone,limestone,Basalt,B,International
2018,26,,What is the time in Accra at Longitude 0° when the local time at longitude 45°W is 12noon?,3.00pm,5.00pm,7.00pm,9.00pm,D,Africa
2018,27,,What is the distance between two places on the surface of the Earth which are located 8 °N and 10°S on the same longitude?,"1,011km","1,998km",10101km,"17,770km",B,International
2018,28,,Coastal deposition results in the formation of,stack,arch,pillar,beach,D,International
2018,29,,Which of the following pairs of elements are found in the core of Earth?,Iron and silicon,Iron and nickel,Iron and calcium,Iron and magnesium,B,International
2018,30,,In which of the following layers in the atmosphere does temperature increases with altitude?,Troposphere,Ionosphere,Stratosphere,Exosphere,B,International
2018,31,,Relief rainfall is mostly associated with,lowlands,peneplains,highlands,deserts,C,International
2018,32,,The extent of coastal erosion depends on the,amount of fresh water supplied by tributaries,depth of ocean water,salinity of the ocean,nature of the waves,A,International
2018,33,,The envelope of gases surrounding the Earth's cruel is called,hydrosphere,barysphere,atmosphere,lithosphere,C,International
2018,34,,Carbonaceous type of sedimentary rocks are made from,remains of dead animals,vegetable matter,molten magma,living plants and animals,B,International
2018,35,,"Autotrophs, heterotrophs and decomposers are associated with",Vegetation,Climate,Ecosystem,Geology,C,International
2018,36,,Which of the following pairs of rocks is not corretly shown?,clay slate,limestone→ marble,sandstone quartzite,shale graphite,D,International
2018,37,,Cold currents can also cause,rise in tide,rise in temperature of the area,sea level to rise,fogs instead of actual rain,D,International
2018,38,,The most predominant occupation of most of the population of West African countries is,farming,fishing,mining,teaching,A,Africa
2018,39,,Which of the following is not a characteristic of subsistence farming?,the produce is mainly for home consumption,it is capital intensive,simple farming tools are used,it is labour intensive,B,International
2018,40,,Trans-continental highways link up,mining cities,countries in a continent,state headquarters,local settlements,B,International
2018,41,,Heavy industries require,mostly coal to run them,cheap raw materials as inputs,generators only as source of electricity,large capital to set up,D,International
2018,42,,Which of the following is likely to make petroleum drilling unimportant?,Depletion of reserves,Adequate capital,Adequate skilled labour,Good management,A,International
2018,43,,Which of the following statements most apply for solar energy production in Tropical Africa?,Generated without cost,Imported from Europe,Produced in higher latitudes,Cheap and readily accessible,A,Africa
2018,44,,They are headquarters of governments and are usually capital cities. This best describes,market towns,administrative towns,educational towns,mining town,B,International
2018,45,,One of the usefulness of import tariff on imported goods is the,encouragement of importation,multiplication of foreign goods,protection of infant industries,saving of money,C,International
2018,46,,Textile industries are located,near the market,where water resource is scarce,in wide plains,near sources of raw materials.,A,International
2018,47,,Which of the following factors is unique for the development of the aircraft industry in California?,Availability of cheap labour,the peaceful political atmosphere,The government limited support,clear sky which favours testing of aircrafts,A,International
2018,48,,The ranking of settlements into rural and urbanis mostly based on,location,size,pattern,population,C,International
2018,49,,All the following agricultural practices are intensive farming techniques except,land rotation,Crop rotation,mixed farming,market gardening,A,International
2018,50,,Natural increase in population means excess of,emigration over immigration,immigration over emigration,deaths over births,births over deaths,D,International
,,,,,,,,,
,,,,,,,,,
2019,16,,Which of the following features is found in the upper course of a river?,Levee,Gorge,Ox-bow lake,Delta.,B,International
2019,17,,Which of the following elements of climate is used in the Greek System of climate classification?,Rainfall,Pressure,Humidity,Temperature,D,International
2019,18,,Two opposite longitudes form,a Great Circle,the Equator.,the International Dateline.,the Arctic Circle.,A,International
2019,19,,"What is the local time in Town X at 45° E, when it is noon at 0º?",6.00 pm,6.00 am,3.00 pm,3.00 am,C,International
2019,20,,Which of the following examples of igneous rock is extrusive?,Granite,Basalt,Gabbro,Diorite,B,International
2019,21,,Rift valleys are formed through which of the following processes?,Erosion,Folding,Weathering,Faulting,D,International
2019,22,,"Caverns, dry valleys and underground drainage are associated with which of the following areas?",Coastal,Desert,Limestone,Mountainous,C,International
2019,23,,Which of the following processes of wind action is erosion?,Saltation,Deflation,Suspension,Traction,B,International
2019,24,,From what are carbonaceous types of sedimentary rocks made of?,Tropical heat,Molten Magma,Vegetable matter,Coral remains,C,International
2019,25,,Which of the following is a drainage pattern?,Delta,Mouth,Source,Trellis,D,International
2019,26,,The predominant process of weathering in the desert region is,biological,chemical,physical,solution.,C,International
2019,27,,"The instrument, barometer, is used for measuring",temperature,wind speed,air pressure.,relative humidity.,D,International
2019,28,,Which climatic type has winter rain?,Equatorial,Mediterranean,Tropical continental,Tropical monsoon,B,International
2019,29,,Which of the following igneous intrusions is horizontally inclined?,Sill,Dyke,Laccolith,Batholith,A,International
2019,30,,Which of the following rocks is not metamorphic?,Shale,Schist,Quartzite,Slate,A,International
2019,31,,"If the temperature reading at an observatory located on top of a dormant volcano is 6 °C, what will be the temperature at the bottom of the volcano if the observatory is 3,000 meters from the surrounding lowland?",5.5 °C,13.5 °C,25.5 °C,35.5°C,C,International
2019,32,,A crescentic depositional feature found in a desert area is,rock pedestal.,zeugen.,yandang,barchan dune.,D,International
2019,33,,Which of the following is not a volcanic feature?,Caldera,Geyser,Dyke,Ventifact,D,International
2019,34,,Earth's surface is warmed by solar energy through,refraction,convection,conduction.,radiation.,C,International
2019,35,,Vosges and black forest mountains are examples of,residual,block.,fold.,volcanic.,B,International
2019,36,,How many standard time zones will a country with longitudinal extent of 150° have?,10,11,15,16,A,International
2019,37,,One important consequence of the location of Nigeria between latitudes 4° and 14° North of the Equator is that,the northern part of the country enjoys land and sea breezes.,all parts of the country receive rainfall throughout the year.,all parts of the country have luxuriant vegetation.,"some parts of the country enjoy a hot, wet tropical climate throughout the year.",D,Nigeria
2019,38,,Subsistence farming is practiced when people,grow crops for consumption.,grow only one crop.,export only one crop.,grow many crops for export.,A,International
2019,39,,Which of the following factors hinder the development of tourism? I. Spread of diseases II.Escalation of crime Ill. Adequate publicity IV. Inadequate appreciation of leisure,| and Il only,Il and Ill only,I and IV only,Ill and IV only,C,International
2019,40,,The busiest ocean trade route is the,Mozambique channel.,Suez canal route,North Atlantic route.,Cape route.,C,International
2019,41,,A settlement type in which buildings are aligned along a road or river is said to be,dispersed.,nucleated,linear,clustered.,C,International
2019,42,,The major causes of change in population size are,"births, marriage and deaths.","births, accidents and deaths","births, deaths and migration","migration, fertility and marriage.",A,International
2019,43,,"Banking, insurance and teaching are examples of which industry?",Consumer,Tertiary,Secondary,Primary,B,International
2019,44,,A rapid population growth can result from,high death and low birth rate,the use of family planning methods.,absence of natural hazards.,improved medical care.,D,International
2019,45,,The term relative location of a settlement refers to,the nature of the land on which the settlement is located.,the position of a settlement in relation to others.,a settlement inhabited by relatives.,an imaginary point on,B,International
2019,46,,Transportation helps economic development through all the following except,movement of people and commodities.,promotion of national and international trade,diffusion of ideas and technology.,distribution of human population.,D,International
2019,47,,Most industries in the West African sub-region are,large-scale,small-scale,medium-scale.,capital intensive.,B,Africa
2019,48,,Which of the following areas in Tropical Africa is densely populated?,South-western Nigeria,The middle belt of West Africa,The Sahel region of West Africa,The Niger Delta,A,Africa
2019,49,,What is the sum total of human resources available in a country called?,Cluster,Inhabitant,Population,Primary,C,International
2019,50,,The predominance of consumer-oriented industries in developing countries is accounted for by,limited demand,adequate capital.,limited skilled manpower.,high level of technology.,B,International
,,,,,,,,,
,,,,,,,,,
2020,16,,A fall in sea level can lead to the formation of,mud flat,raised beach.,tombolo,glup.,B,International
2020,17,,Which of the following is a process of river transportation?,Attrition,deflation,Abrasion,Suspension,D,International
2020,20,,The predominant process of weathering in desert regions,biological,chemical,erosional,physical,D,International
2020,23,,Temperarure decreases with height in the,stratophere,troposphere,ionosphere,exosphere,B,International
2020,24,,A temporary salk lake founf in arid and semi-arid area is aslo called,playa,wadi,bajada,messa,D,International
